OBJECTID;FORMULARIO;CODIGO_ACCIDENTADO;CODIGO_VICTIMA;CODIGO_VEHICULO;CONDICION;ESTADO;MUERTE_POSTERIOR;FECHA_POSTERIOR_MUERTE;GENERO;FECHA_NACIMIENTO;EDAD;CODIGO;CONDICION_VEHICULO;cod_accidente;OBJECTID-2;FORMULARIO-2;CODIGO_ACCIDENTE;FECHA_OCURRENCIA_ACC;HORA_OCURRENCIA_ACC;ANO_OCURRENCIA_ACC;MES_OCURRENCIA_ACC;DIA_OCURRENCIA_ACC;DIRECCION;GRAVEDAD;CLASE_ACC;LOCALIDAD;MUNICIPIO;FECHA_HORA_ACC;LATITUD;LONGITUD;CIV;PK_CALZADA
145834;728637600;152998;0;1;CONDUCTOR;ILESO;;1/01/1975 1:00;MASCULINO;5/06/1960 19:00;47;48901-1;CONDUCTOR;48901;;;;;;;;;;;;;;;;;;
145835;728637600;152999;0;2;CONDUCTOR;ILESO;;1/01/1975 1:00;MASCULINO;25/10/1975 19:00;32;48901-2;CONDUCTOR;48901;;;;;;;;;;;;;;;;;;
145953;726676500;146673;0;1;CONDUCTOR;ILESO;;1/01/1975 1:00;MASCULINO;17/11/1964 19:00;42;29506-1;CONDUCTOR;29506;;;;;;;;;;;;;;;;;;
146068;712950200;148799;0;2;CONDUCTOR;ILESO;;1/01/1975 1:00;MASCULINO;15/10/1985 19:00;21;23496-2;CONDUCTOR;23496;;;;;;;;;;;;;;;;;;
146162;727409400;148893;0;1;CONDUCTOR;ILESO;;1/01/1975 1:00;MASCULINO;3/12/1980 19:00;26;36798-1;CONDUCTOR;36798;;;;;;;;;;;;;;;;;;
146402;727242800;161203;3;1;PASAJERO;HERIDO;N;1/01/1975 1:00;MASCULINO;5/06/1986 19:00;21;35135-1;PASAJERO;35135;;;;;;;;;;;;;;;;;;
146403;727242800;161204;1;1;PASAJERO;HERIDO;N;1/01/1975 1:00;MASCULINO;18/03/1986 19:00;21;35135-1;PASAJERO;35135;;;;;;;;;;;;;;;;;;
146404;727242800;161205;2;2;PASAJERO;HERIDO;N;1/01/1975 1:00;MASCULINO;28/11/1986 19:00;20;35135-2;PASAJERO;35135;;;;;;;;;;;;;;;;;;
146504;712166100;155219;1;;PEATON;HERIDO;N;1/01/1975 1:00;MASCULINO;22/05/1962 19:00;44;15716-;PEATON;15716;;;;;;;;;;;;;;;;;;
146546;712187800;155261;1;1;PEATON;HERIDO;N;1/01/1975 1:00;MASCULINO;27/06/1977 19:00;29;15933-1;PEATON;15933;;;;;;;;;;;;;;;;;;
