ANO_OCURRENCIA_ACC;MES_OCURRENCIA_ACC;CONTEO;MES;MES_NUM
2003;ENERO;7;ENERO;1
2005;ENERO;16;ENERO;1
2006;ENERO;11;ENERO;1
2007;ENERO;2124;ENERO;1
2008;ENERO;2066;ENERO;1
2009;ENERO;1649;ENERO;1
2010;ENERO;1830;ENERO;1
2011;ENERO;1912;ENERO;1
2012;ENERO;2114;ENERO;1
2013;ENERO;2268;ENERO;1
2014;ENERO;2002;ENERO;1
2015;ENERO;1914;ENERO;1
2016;ENERO;1908;ENERO;1
2017;ENERO;2156;ENERO;1
2018;ENERO;2260;ENERO;1
2019;ENERO;2260;ENERO;1
2020;ENERO;2247;ENERO;1
2021;ENERO;1503;ENERO;1
2022;ENERO;2036;ENERO;1
2023;ENERO;1074;ENERO;1
2024;ENERO;1042;ENERO;1
2003;FEBRERO;17;FEBRERO;2
2005;FEBRERO;18;FEBRERO;2
2006;FEBRERO;15;FEBRERO;2
2007;FEBRERO;2468;FEBRERO;2
2008;FEBRERO;2315;FEBRERO;2
2009;FEBRERO;1761;FEBRERO;2
2010;FEBRERO;2089;FEBRERO;2
2011;FEBRERO;2161;FEBRERO;2
2012;FEBRERO;2562;FEBRERO;2
2013;FEBRERO;2399;FEBRERO;2
2014;FEBRERO;2327;FEBRERO;2
2015;FEBRERO;2311;FEBRERO;2
2016;FEBRERO;2371;FEBRERO;2
2017;FEBRERO;2706;FEBRERO;2
2018;FEBRERO;2648;FEBRERO;2
2019;FEBRERO;2492;FEBRERO;2
2020;FEBRERO;2766;FEBRERO;2
2021;FEBRERO;2027;FEBRERO;2
2022;FEBRERO;2362;FEBRERO;2
2023;FEBRERO;1220;FEBRERO;2
2024;FEBRERO;1114;FEBRERO;2
2003;MARZO;11;MARZO;3
2005;MARZO;16;MARZO;3
2006;MARZO;19;MARZO;3
2007;MARZO;2615;MARZO;3
2008;MARZO;2271;MARZO;3
2009;MARZO;1959;MARZO;3
2010;MARZO;2377;MARZO;3
2011;MARZO;2450;MARZO;3
2012;MARZO;2720;MARZO;3
2013;MARZO;2449;MARZO;3
2014;MARZO;2604;MARZO;3
2015;MARZO;2398;MARZO;3
2016;MARZO;2415;MARZO;3
2017;MARZO;2954;MARZO;3
2018;MARZO;3022;MARZO;3
2019;MARZO;2870;MARZO;3
2020;MARZO;1835;MARZO;3
2021;MARZO;2600;MARZO;3
2022;MARZO;2772;MARZO;3
2023;MARZO;1249;MARZO;3
2024;MARZO;21;MARZO;3
2003;ABRIL;9;ABRIL;4
2005;ABRIL;12;ABRIL;4
2006;ABRIL;12;ABRIL;4
